Match,BPrev,BStreak,B_Age,B_Age Group,B_Height,B_ID,B_Weight,RPrev,RStreak,R_Age,R_Age_Group,R_Height,R_ID,R_Weight,winner,Blue Impact,Red Impact Score
0,1,1,23,20's,182,2783,84,6,1,27,20's,187,2246,84,red,1425,16453
1,0,0,32,30's,175,2208,70,0,0,29,20's,182,2039,70,blue,0,0
2,2,0,38,30's,172,721,70,2,0,32,30's,177,524,70,red,6024,4204
3,0,0,23,20's,170,2825,56,6,4,25,20's,175,2166,56,blue,0,21384
4,3,1,30,30's,167,2260,61,5,2,28,20's,170,2150,61,red,9549,15454
5,0,0,38,30's,180,1918,70,4,0,30,30's,180,2036,70,red,0,13995
6,2,1,30,30's,182,2507,70,4,1,30,30's,187,1096,70,red,4519,9647
7,0,0,27,20's,177,2262,70,1,0,30,30's,180,2044,70,blue,0,3796
8,1,0,34,30's,177,1817,70,3,0,31,30's,177,1982,70,red,2861,7560
9,2,1,33,30's,182,2080,77,4,1,28,20's,182,2228,77,blue,7194,10781
10,4,0,36,30's,175,2041,65,0,0,23,20's,172,2570,65,red,9010,0
11,0,0,27,20's,177,2502,70,0,0,27,20's,177,2301,70,blue,0,0
12,0,0,30,30's,182,2250,77,0,0,32,30's,180,2249,84,red,0,0
13,0,0,44,40's,177,1001,84,1,0,38,30's,185,368,84,red,0,1150
14,3,3,30,30's,190,2608,93,2,2,25,20's,190,2076,93,blue,6696,4975
15,2,2,30,30's,190,2234,109,3,2,32,30's,182,1850,118,blue,7830,6749
16,1,0,33,30's,175,890,70,1,0,34,30's,175,778,70,blue,4356,2522
17,0,0,35,30's,172,2219,61,0,0,31,30's,170,2220,61,red,0,0
18,0,0,36,30's,167,2022,61,0,0,30,30's,170,1828,61,red,0,0
19,0,0,33,30's,182,506,84,0,0,41,40's,187,235,84,no contest,0,0
20,0,0,30,30's,170,2862,65,6,0,31,30's,172,1978,65,blue,0,14086
21,3,0,34,30's,177,1493,70,1,0,36,30's,177,407,77,red,1791,2768
