B_Age,B_Height,B_ID,B_Weight,Event_ID,Fight_ID,R_Age,R_Height,R_ID,R_Weight,winner
23,182,2783,84,802,6405,27,187,2246,84,red
32,175,2208,70,670,4786,29,182,2039,70,blue
38,172,721,70,729,5523,32,177,524,70,red
23,170,2825,56,790,6240,25,175,2166,56,blue
30,167,2260,61,785,6226,28,170,2150,61,red
38,180,1918,70,745,5655,30,180,2036,70,red
30,182,2507,70,765,5914,30,187,1096,70,red
27,177,2262,70,680,5004,30,180,2044,70,blue
34,177,1817,70,717,5370,31,177,1982,70,red
33,182,2080,77,766,5972,28,182,2228,77,blue
36,175,2041,65,763,5907,23,172,2570,65,red
27,177,2502,70,714,5320,27,177,2301,70,blue
30,182,2250,77,666,4881,32,180,2249,84,red
44,177,1001,84,679,4885,38,185,368,84,red
30,190,2608,93,800,6362,25,190,2076,93,blue
30,190,2234,109,744,5629,32,182,1850,118,blue
33,175,890,70,720,5359,34,175,778,70,blue
35,172,2219,61,660,4817,31,170,2220,61,red
36,167,2022,61,650,4666,30,170,1828,61,red
33,182,506,84,699,5110,41,187,235,84,no contest
30,170,2862,65,808,6529,31,172,1978,65,blue
34,177,1493,70,764,5903,36,177,407,77,red
33,177,2273,70,719,5351,25,177,2466,70,red
31,177,1982,70,676,4878,35,172,1948,70,blue
37,180,1781,84,651,4601,32,190,1294,84,red
46,180,129,84,749,5671,39,182,295,84,red
37,162,2196,56,649,4643,38,167,1170,61,red
24,177,2724,65,797,6363,27,182,2254,65,blue
27,177,2141,70,667,4738,35,172,1948,70,red
29,177,2771,70,771,6097,28,177,1919,70,red
32,160,2352,52,744,5667,24,165,2344,52,red
27,182,2263,77,761,5919,21,182,2628,70,blue
32,160,1904,61,790,6267,26,160,1966,61,red
31,180,2805,77,785,6235,29,180,2297,77,red
33,154,2348,52,697,5162,27,154,2340,52,red
28,175,2057,70,721,5354,31,167,1484,65,blue
26,180,2737,77,801,6409,28,177,2268,77,blue
28,170,2240,61,727,5497,25,160,2079,52,red
28,172,1719,61,684,4939,34,167,2017,61,red
31,182,2261,70,700,5243,30,187,1096,70,blue
26,177,2119,65,687,5025,29,172,1858,61,blue
29,190,2199,93,687,5024,37,185,1663,93,red
35,172,2219,61,720,5411,27,167,2354,61,blue
32,175,2208,70,712,5263,28,175,1595,70,red
22,180,2879,61,811,6520,35,170,2811,63,red
33,170,2165,61,671,4915,30,170,2189,61,blue
33,162,2152,56,764,5938,32,162,911,56,red
28,177,2374,84,696,5134,34,175,2027,84,red
28,172,1340,70,800,6357,28,175,2223,70,red
33,170,1051,61,785,6193,25,172,2369,61,red
31,177,1891,70,780,6114,29,177,2426,70,red
32,172,2185,70,650,4725,33,172,2184,70,red
29,190,2199,93,662,4702,37,185,2085,93,blue
31,162,2084,56,669,4809,30,160,1495,56,red
37,185,2085,93,811,6517,26,177,2828,93,blue
39,177,330,77,713,5274,32,182,1820,77,red
31,172,1791,65,681,4921,32,170,533,65,red
29,190,2779,77,775,6076,29,180,2297,77,red
30,177,2756,70,775,6074,28,175,2223,70,red
30,177,2222,70,766,5992,32,172,875,70,red
37,175,1061,70,729,5527,33,172,509,70,red
46,180,129,84,717,5369,36,182,435,84,blue
25,190,2167,84,699,5111,33,182,2087,84,red
27,185,2173,77,674,4862,26,182,2037,84,red
36,170,2332,56,688,5021,28,177,2274,56,blue
32,180,2316,70,743,5650,32,172,875,70,red
33,190,1499,93,693,5030,35,185,457,93,blue
35,182,2186,77,780,6124,41,182,870,77,blue
33,185,2205,93,674,4861,31,190,1742,93,red
34,200,1515,115,808,6523,32,190,2082,118,red
30,180,2230,65,732,5533,33,172,1864,65,red
27,182,2821,70,789,6218,35,177,648,70,red
33,185,1806,84,807,6508,41,187,235,84,red
35,193,969,120,683,4936,36,193,808,120,blue
33,185,2205,93,663,4737,35,187,1922,93,red
29,177,1481,70,753,5697,31,172,1675,70,blue
24,175,2157,70,646,4649,29,175,1983,70,red
28,198,2064,84,716,5386,39,182,653,84,red
26,160,1966,61,781,6144,26,175,1650,61,blue
34,185,2321,111,692,5042,30,190,2234,109,red
32,180,1272,77,755,5707,33,175,1066,77,red
27,167,1511,61,806,6455,29,165,2731,61,red
32,172,1980,65,670,4848,34,172,1054,65,red
29,170,2603,52,785,6250,31,162,2350,52,blue
32,167,2207,70,692,5041,30,190,1984,70,red
31,167,2339,52,784,6232,25,160,2079,52,red
32,182,1422,77,675,4835,28,180,2015,77,red
31,172,1978,65,651,4599,32,185,522,65,red
23,185,2765,93,790,6310,29,187,2367,93,blue
30,167,1907,65,689,5012,34,172,1054,65,red
29,180,2297,77,679,4967,26,182,2188,77,blue
30,165,2255,61,695,5084,30,172,2308,61,blue
37,172,2353,77,693,5062,28,187,2282,77,red
31,180,2582,70,739,5611,28,175,2223,70,red
37,167,959,61,646,4590,30,167,1527,65,red
30,157,2372,52,697,5163,31,167,2339,52,red
30,175,545,65,777,6055,30,167,1527,65,blue
34,182,1594,84,667,4739,36,185,419,93,red
33,187,2736,120,763,5924,34,182,2083,112,red
39,193,306,120,724,5555,37,193,1431,119,red
29,182,2104,77,771,6039,30,180,2508,77,red
30,177,942,77,688,4975,27,182,1176,77,red
29,177,2053,77,698,5149,29,185,2269,77,red
29,180,2469,77,713,5273,30,177,2288,70,red
28,162,2277,52,776,6038,29,167,2280,52,red
30,175,2812,70,791,6261,26,182,2575,70,blue
30,172,2371,56,773,6100,27,177,2296,56,red
34,180,2160,77,666,4775,36,180,651,77,blue
35,167,451,65,778,6081,30,170,1052,65,red
29,182,2587,77,796,6353,26,180,2247,77,blue
32,167,2010,56,720,5477,30,162,2299,56,red
39,182,1866,84,661,4721,29,185,1546,84,blue
34,187,2051,84,727,5522,35,180,1452,84,red
34,167,2748,61,816,6626,27,170,2177,61,red
33,175,890,70,759,5787,30,177,1069,65,blue
25,180,2172,77,744,5648,35,182,2291,77,blue
35,162,2182,61,797,6432,24,172,2359,61,red
26,182,2780,93,798,6307,32,187,2794,93,blue
29,177,1875,77,729,5528,32,182,1422,77,red
36,172,2356,61,721,5466,25,172,2369,61,red
31,177,2171,77,680,5002,32,190,2020,77,red
36,182,432,77,800,6429,33,185,1076,77,red
28,175,2529,70,795,6343,24,175,2157,70,red
27,180,2377,70,739,5577,32,175,520,70,blue
