BPrev,BStreak,B_Age,B_Height,B_HomeTown,B_ID,B_Location,B_Name,B_Weight,Date,Event_ID,Fight_ID,Last_round,Max_round,RPrev,R_Age,R_Height,R_HomeTown,R_ID,R_Location,R_Name,R_Weight,winby,winner
0,0,38,193,Hounslow England,808,Amsterdam The Netherlands,Alistair Overeem,120,2/3/2014,646,4580,3,3,0,39,190,"Las Vegas, Nevada USA",377,"Las Vegas, Nevada USA",Frank Mir,119,DEC,blue
0,0,36,172,"Chicago, Illinois United States",1054,"Chicago, Illinois United States",Ricardo Lamas,65,2/3/2014,646,4589,5,5,0,32,170,Manaus Brazil,1052,Rio de Janeiro Brazil,Jose Aldo,65,DEC,red
0,0,39,167,"Isla Vista , California USA",959,"Sacramento, California USA",Urijah Faber,61,2/3/2014,646,4590,1,5,0,31,167,Natal Brazil,1527,Rio de Janeiro Brazil,Renan Barao,61,KO/TKO,red
0,0,33,167,"San Diego, CA USA",1056,"San Diego, CA USA",Danny Martinez,56,2/3/2014,646,4605,3,3,0,37,160,"San Jose, California USA",1253,"Tucson, Arizona USA",Chris Cariaso,56,DEC,red
0,0,36,185,Southampton England,2005,Southampton England,Tom Watson,84,2/3/2014,646,4631,3,3,0,37,182,"Englewood, NJ USA",464,"Brick, NJ USA",Nick Catone,84,DEC,red
0,0,35,180,Amazonas Brazil,2101,Rio de Janeiro Brazil,Alan Patrick,70,2/3/2014,646,4642,3,3,0,33,172,"Halifax, Nova Scotia Canada",1675,"Montreal, Quebec Canada",John Makdessi,70,DEC,blue
0,0,26,175,"Detroit, Michigan United States",2157,"Las Vegas, Nevada United States",Kevin Lee,70,2/3/2014,646,4649,3,3,0,31,175,"Wantagh, New York United States",1983,"Wantagh, New York United States",Al Iaquinta,70,DEC,red
0,0,33,175,Dagestan Russia,2158,"Coconut Creek, Florida United States",Rashid Magomedov,70,11/5/2016,646,4651,3,3,0,28,182,"Palos Heights, Illinois United States",2159,"Boston, Massachusetts United States",Tony Martin,70,DEC,blue
0,0,36,180,"Zinzeli, Astrakhan Oblast Russia",2160,"Zinzeli, Astrakhan Oblast Russia",Gasan Umalatov,77,2/3/2014,646,4652,3,3,0,31,190,"Brooklyn, New York United States",2047,"Denver, Colorado United States",Neil Magny,77,DEC,red
0,0,33,162,Dagestan Republic Russia,2084,Dagestan Republic Russia,Ali Bagautinov,56,2/3/2014,646,4658,3,3,0,28,160,"Paranagua, Parana Brazil",1966,"Paranagua, Parana Brazil",John Lineker,61,DEC,blue
